matlab_path,python_path,is_script,function_name,inputs,outputs,loc,sha256
demo_min1pipe.m,src/min1pipe/matlab_mirror/demo_min1pipe.py,True,,,,128,8ef9f8310ef78499d94f91d9666e25ec0c79cbc65dc6192d4d8269e5a66b503e
demo_min1pipe_HPC.m,src/min1pipe/matlab_mirror/demo_min1pipe_HPC.py,True,,,,133,d0dc094db98f2710fff6adb8f48189fa9017fb0779f546969b2753e887ccd3f2
min1pipe.m,src/min1pipe/matlab_mirror/min1pipe.py,False,min1pipe,Fsi;Fsi_new;spatialr;se;ismc;flag,file_name_to_save;filename_raw;filename_reg,292,1498a84eff80fdc01de01f0b63caf3a9923d6459070713eb37893ab62a176c7a
min1pipe_HPC.m,src/min1pipe/matlab_mirror/min1pipe_HPC.py,False,min1pipe_HPC,Fsi;Fsi_new;spatialr;se;ismc;flag;path_name;file_name,file_name_to_save;filename_raw;filename_reg,284,38bed317ce7130aaa43e10e740fe49aebf77edc3ecc819e676830d76547a4944
min1pipe_old.m,src/min1pipe/matlab_mirror/min1pipe_old.py,False,min1pipe,Fsi;Fsi_new;spatialr;se;ismc;flag,file_name_to_save;filename_raw;filename_reg,285,d6d6a221fb2787797be57018658dbdc2e3c4e058f22818fdb5203b18d4d67557
utilities/CNMF/CNMFSetParms.m,src/min1pipe/matlab_mirror/utilities/CNMF/CNMFSetParms.py,False,CNMFSetParms,varargin,options,268,3b4dc4e94476b221d22d3ada9b23995edde498ce8ede13798b5f0b4542dbf33d
utilities/CNMF/constrained_foopsi.m,src/min1pipe/matlab_mirror/utilities/CNMF/constrained_foopsi.py,False,constrained_foopsi,y;b;c1;g;sn;options,c;b;c1;g;sn;sp,298,80399af4d9eb248a2f383156c08ab45d7f3a1a56d25ce55b69dcfc36451262fd
utilities/CNMF/cvx_foopsi.m,src/min1pipe/matlab_mirror/utilities/CNMF/cvx_foopsi.py,False,cvx_foopsi,y;b;c1;sn;b_lb;g;w;keep,c;b;c1,46,6844ceaf63d585090a575885eb50e2ed298cc5e341950dd4b870f921810ed474
utilities/CNMF/find_unsaturatedPixels.m,src/min1pipe/matlab_mirror/utilities/CNMF/find_unsaturatedPixels.py,False,find_unsaturatedPixels,Y;saturationValue;saturationThreshold;saturationTime,normalPixels,24,5e3fb370d961142a92c39f23130c6286f35a65dc36bbe35996322dec18d5735a
utilities/CNMF/get_noise_fft.m,src/min1pipe/matlab_mirror/utilities/CNMF/get_noise_fft.py,False,get_noise_fft,m;options,sn;psdx;ff,45,f2abd52aa02056208c6e23c6a59bb1be382d411e122cf613b1775968d26c7da3
utilities/CNMF/init_roi.m,src/min1pipe/matlab_mirror/utilities/CNMF/init_roi.py,False,init_roi,data;sig;nIter,roi;sig,23,05ac928a5f80cc35e23ca3f042ff0e01fc7468ca79fc6261a144cebaa1f7f1d4
utilities/CNMF/kmeans_pp.m,src/min1pipe/matlab_mirror/utilities/CNMF/kmeans_pp.py,False,kmeans_pp,X;k,L;C,67,374b059448ba5087b53d9856c46f99c6848d05b526c5e2a5ec1c560f231a9eef
utilities/CNMF/lars_regression_noise.m,src/min1pipe/matlab_mirror/utilities/CNMF/lars_regression_noise.py,False,lars_regression_noise,Y;X;positive;noise,Ws;lambdas;W_lam;lam;flag,299,f91b4be76cc5bc5403461cecda9646b1f866e8ff48117d363801c53eda0c397e
utilities/CNMF/preprocess_data.m,src/min1pipe/matlab_mirror/utilities/CNMF/preprocess_data.py,False,preprocess_data,m;p;options,P;m,51,c1d47aa785d1bbd0dc36549ee12df7e48913567e0de85beda9484d3d18c4fa07
utilities/CNMF/update_order.m,src/min1pipe/matlab_mirror/utilities/CNMF/update_order.py,False,update_order,A,O;lo,30,e538733c4d4e5e8a85121130f2b4dd50125d2fcff970feb56f6f43f7141f6ff7
utilities/RNN/batch_init.m,src/min1pipe/matlab_mirror/utilities/RNN/batch_init.py,False,batch_init,xin;bsize;lbin,xbatch,19,820ccdcbf4b2df8ed160ba83827ff98b13b5ee1ec4e641a80d8d45939897fb09
utilities/RNN/bprop.m,src/min1pipe/matlab_mirror/utilities/RNN/bprop.py,False,bprop,lstmc;Wt;Ut;P;lbin;pars,gradt,63,7e6cd735b75488f977fc76151d2178a3da6b70c925e5aa313f20e91aedf8b271
utilities/RNN/check_grad.m,src/min1pipe/matlab_mirror/utilities/RNN/check_grad.py,False,check_grad,grad;W;U;xin;lbin;ht1;ct1;ifcheck,,23,3cf46f7db70441608b5ac8871b06a3f6e1472f057fdc76d66f69334cabbf5602
